pid,handle,type,title,fair,identifier
umd:592,hdl:1903.1/235,UMD_IMAGE,"The Japanese Garden, Louisiana Purchase Exposition, St. Louis, Mo.","Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-10-0006
umd:586,hdl:1903.1/258,UMD_IMAGE,"California State Building, Louisiana Purchase Exposition, St. Louis, Mo.","Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-10-0005a
umd:94,hdl:1903.1/318,UMD_IMAGE,"Bailey and Company, established 1830","Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0050
umd:940,hdl:1903.1/325,UMD_IMAGE,Prima Mater,"Panama-Pacific International Exposition (1915 : San Francisco, Calif.)",Call Number: 1915-sfr-20-0001-006
umd:894,hdl:1903.1/246,UMD_IMAGE,"French Applied Arts Palace, west entrance","Franco-British Exhibition (1908 : London, England)",Call Number: 1908-lon-08-0011
umd:902,hdl:1903.1/215,UMD_IMAGE,Palace of Women's Work,"Franco-British Exhibition (1908 : London, England)",Call Number: 1908-lon-08-0025
umd:892,hdl:1903.1/227,UMD_IMAGE,French Applied Arts Palace,"Franco-British Exhibition (1908 : London, England)",Call Number: 1908-lon-08-0010
umd:898,hdl:1903.1/218,UMD_IMAGE,Court of Honour,"Franco-British Exhibition (1908 : London, England)",Call Number: 1908-lon-08-0014
umd:900,hdl:1903.1/220,UMD_IMAGE,"Machinery Halls, Entrance","Franco-British Exhibition (1908 : London, England)",Call Number: 1908-lon-08-0020
umd:906,hdl:1903.1/245,UMD_IMAGE,Pavilion Neerlandais,"Exposition universelle et internationale (1910 : Brussels, Belgium)",Call Number: 1910-bru-08-0005
umd:798,hdl:1903.1/116,UMD_IMAGE,Habitation Ouvriere Parisienne,Exposition Universelle de 1867 à Paris,Call Number: 1867-par-26-0001
umd:860,hdl:1903.1/124,UMD_IMAGE,Trocadero,"Exposition universelle internationale de 1900 (Paris, France)",Call Number: 1900-par-08-0028
umd:864,hdl:1903.1/222,UMD_IMAGE,Exposition Universelle 1900,"Exposition universelle internationale de 1900 (Paris, France)",Call Number: 1900-par-08-0037
